Unnamed: 0,timestamp,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,ammonia,us_aqi,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,surface_pressure,precipitation,cloud_cover,city
18426.0,2026-09-05 01:00:00,12.2,24.4,147.0,8.5,4.4,37.0,16.0,,64,26.1,86,13.0,260,1006.9,0.0,63,Karachi
18427.0,2026-09-05 04:00:00,14.2,29.2,106.0,5.7,4.3,39.0,21.0,,66,25.9,87,15.2,264,1005.9,0.0,40,Karachi
18428.0,2026-09-02 12:00:00,19.8,52.4,192.0,5.4,5.9,56.0,51.0,,67,29.3,70,14.9,228,1006.0,0.0,95,Karachi
18429.0,2026-09-07 09:00:00,17.8,40.4,247.0,10.1,6.0,39.0,30.0,,64,28.1,76,18.3,255,1009.0,0.0,59,Karachi
18430.0,2026-09-04 00:00:00,15.0,30.3,208.0,12.9,5.5,35.0,23.0,,64,26.3,83,13.1,255,1005.3,0.0,27,Karachi
18431.0,2026-09-02 22:00:00,14.3,25.4,221.0,20.3,7.0,26.0,14.0,,65,26.3,87,10.7,237,1006.0,0.0,23,Karachi
,2026-09-08 01:00:00,13.4,30.4,158.0,11.4,5.2,32.0,25.0,,63,25.9,92,12.1,247,1007.7,0.0,79,Karachi
,2026-09-08 02:00:00,12.7,29.5,142.0,9.8,5.0,33.0,25.0,,63,26.0,91,11.8,246,1007.3,0.0,24,Karachi
,2026-09-08 03:00:00,11.9,28.1,130.0,8.5,5.0,34.0,25.0,,63,25.7,92,11.3,243,1006.8,0.0,24,Karachi
,2026-09-08 04:00:00,12.3,30.7,123.0,7.2,4.7,35.0,26.0,,64,25.5,93,11.4,243,1006.9,0.0,32,Karachi
,2026-09-08 05:00:00,11.6,28.1,137.0,7.1,4.9,35.0,25.0,,64,25.7,93,11.7,238,1006.8,0.0,30,Karachi
,2026-09-08 06:00:00,11.2,25.9,193.0,8.6,5.4,34.0,26.0,,64,25.9,91,12.8,235,1006.8,0.0,34,Karachi
,2026-09-08 07:00:00,12.4,27.2,270.0,10.9,6.0,32.0,29.0,,64,26.1,90,13.4,238,1007.3,0.0,59,Karachi
,2026-09-08 08:00:00,13.9,33.8,315.0,12.0,6.4,33.0,31.0,,64,26.9,85,14.8,236,1008.0,0.0,37,Karachi
,2026-09-08 09:00:00,15.7,38.1,297.0,10.8,6.4,38.0,32.0,,64,27.8,78,14.7,234,1008.5,0.1,100,Karachi
,2026-09-08 10:00:00,17.4,42.3,247.0,8.4,6.2,46.0,32.0,,63,28.3,75,15.4,234,1008.8,0.0,98,Karachi
,2026-09-08 11:00:00,16.5,39.1,210.0,6.4,6.0,52.0,33.0,,63,28.5,75,16.1,230,1008.8,0.1,58,Karachi
